input,target
391022+26646,417668
137455-813727,-676272
178374-408754,-230380
685714+358635,1044349
304535+926313,1230848
355505+495274,850779
882493-501920,380573
665702+550673,1216375
803623-306864,496759
936304-413363,522941
167093+678672,845765
202064+45764,247828
941940+971723,1913663
958718-473248,485470
334484+863001,1197485
709046-517895,191151
260971+794173,1055144
543954-469123,74831
445199+31648,476847
634512+975310,1609822
225304-17507,207797
577243-276404,300839
177127-48050,129077
59905+143508,203413
649383+640993,1290376
564777+819880,1384657
144545+643363,787908
251148-899972,-648824
485049+185439,670488
948098-550678,397420
984096-914472,69624
892314+205490,1097804
139310+640157,779467
921560-515124,406436
857545-761028,96517
33356+909056,942412
547589-646721,-99132
450039+157833,607872
448138-4719,443419
480184-162157,318027
541255-277521,263734
354697-732220,-377523
123445+87889,211334
216960-525816,-308856
643357+757983,1401340
123142+895222,1018364
322414-28321,294093
765420-932862,-167442
971326+538971,1510297
208898+747616,956514
937937+378310,1316247
858974+894117,1753091
950395+305920,1256315
293469-545578,-252109
9269-364986,-355717
566253+70952,637205
789905-452911,336994
729563-647453,82110
496186+584484,1080670
554145+459947,1014092
134900-72295,62605
734105-990092,-255987
66823-491524,-424701
286750-913551,-626801
47938+928826,976764
895260-575581,319679
616943-579201,37742
245017+577530,822547
358819+643853,1002672
539313+482539,1021852
173656+843981,1017637
54338+662972,717310
784731+203166,987897
704964-292725,412239
586408-600621,-14213
524630+258846,783476
368331+109170,477501
803371-50723,752648
325947+388096,714043
60753+298209,358962
868778-558028,310750
776202-117905,658297
95494+417386,512880
465092-640886,-175794
780712+632565,1413277
923451+833647,1757098
898005-482208,415797
21072+970742,991814
341933-230342,111591
4390-883176,-878786
812789+644070,1456859
254422-884281,-629859
777192-688957,88235
802430-963926,-161496
114912-863969,-749057
241740-207005,34735
174111-217426,-43315
232340-996392,-764052
897610+378779,1276389
827221-795786,31435
288178+535288,823466
905618-745028,160590
19186-967021,-947835
246901-526193,-279292
19552+689903,709455
360909+757966,1118875
77249-937789,-860540
949516-546417,403099
978873-868410,110463
507283-41048,466235
371151-978580,-607429
167322+623529,790851
776043-689422,86621
5390-594685,-589295
505478+363808,869286
124368-684710,-560342
493557+76119,569676
481623+506792,988415
893337+523366,1416703
660811+28668,689479
556796-368221,188575
491601-574657,-83056
434386-821067,-386681
64656-247572,-182916
552866-519532,33334
992335+226913,1219248
465044-361706,103338
817221-765628,51593
895610+729469,1625079
437835+185944,623779
436368-992994,-556626
920725+291358,1212083
161193-702164,-540971
703168+60341,763509
931865-289551,642314
742644+113303,855947
85229+58700,143929
933554-352216,581338
497803+838819,1336622
906944+45113,952057
662555-62410,600145
699704-670585,29119
515770-453130,62640
997228-232384,764844
676104+850765,1526869
475211-242405,232806
310347-832714,-522367
852606-614519,238087
688891+482898,1171789
446873+521456,968329
274546+203955,478501
536064+428485,964549
292462+817431,1109893
98248-703438,-605190
28655+852786,881441
4573+891495,896068
482281-756915,-274634
700834+911885,1612719
19766-941646,-921880
268194+50721,318915
413438+252857,666295
230966-843209,-612243
541278-946166,-404888
556611+355539,912150
54375-477084,-422709
606667-608874,-2207
322405-178402,144003
571052-651843,-80791
493805-442090,51715
211225-787462,-576237
872580-953206,-80626
959518-964836,-5318
786620-460791,325829
208451-362831,-154380
622868-968523,-345655
137904+270033,407937
665678+939973,1605651
97275+889076,986351
88675+765291,853966
282265+140240,422505
952535-550604,401931
657693+51235,708928
448686-710121,-261435
572580+338197,910777
915217-932931,-17714
164742-224474,-59732
564287+261589,825876
174532+484528,659060
549321-465482,83839
645065-617305,27760
946153+90257,1036410
530492+464569,995061
153242+678454,831696
360703-889645,-528942
931474+350467,1281941
552781+9480,562261
47401-358635,-311234
732621-476575,256046
802898-272144,530754
10868+906663,917531
153660+677955,831615
431518+56865,488383
562512+588173,1150685
820182-419658,400524
145866+310232,456098
217398-317897,-100499
949630-811726,137904
572754-967560,-394806
231582+287549,519131
221545+642770,864315
932317-639062,293255
557068+229880,786948
23715+904060,927775
420025-669600,-249575
760775+283645,1044420
517819-981543,-463724
671569-76213,595356
531088+243454,774542
515678+46093,561771
434675+269732,704407
219887-892521,-672634
10870-453617,-442747
112169-701750,-589581
949573+163065,1112638
181740-595125,-413385
610072+181579,791651
824517-710109,114408
383541-598376,-214835
891805+997106,1888911
380605-113827,266778
263438-239483,23955
246824-146870,99954
130828-589851,-459023
918744-455272,463472
80549-121430,-40881
264351-289354,-25003
924686-320316,604370
438607-27921,410686
613105-79066,534039
964701+553423,1518124
599040+965653,1564693
212696-40918,171778
210548+614727,825275
666152-872383,-206231
55139+165911,221050
921467-416539,504928
628138-322162,305976
81048+404007,485055
900464+669916,1570380
563818-167965,395853
825614+854639,1680253
94504-178639,-84135
251861-969219,-717358
231928+850466,1082394
221579-712464,-490885
455962+47487,503449
617954+12432,630386
922761+264086,1186847
638280-949925,-311645
325130+861611,1186741
865995-867,865128
929981-305236,624745
765220+696097,1461317
344726+846389,1191115
767682-260626,507056
532787+536015,1068802
753247+561232,1314479
29498-226200,-196702
760134-329768,430366
13470+773179,786649
600352-259307,341045
641818+883708,1525526
260751-831960,-571209
317901-759722,-441821
460789-86319,374470
796425+474519,1270944
62042-119113,-57071
718872+854331,1573203
619832+139137,758969
90474+807667,898141
280281-608471,-328190
779953+176287,956240
979292+959038,1938330
551964+172454,724418
428103-802238,-374135
171177-962935,-791758
392251+154957,547208
539680-863143,-323463
712116-506621,205495
967746-288024,679722
460121+60661,520782
241353-493463,-252110
4049-96299,-92250
373468+265731,639199
668574-422736,245838
374006-722944,-348938
213101-511189,-298088
111437-62734,48703
128861-412323,-283462
231151-232236,-1085
483586+886834,1370420
135378+401292,536670
581866+160314,742180
911906+164291,1076197
199408-960976,-761568
405636-320372,85264
613694+629577,1243271
1614+46690,48304
863626-949875,-86249
137030+50978,188008
923563+931975,1855538
202171+651374,853545
678084-320694,357390
738008+815221,1553229
526063+995925,1521988
698709+483910,1182619
532750+651244,1183994
87465-428668,-341203
805960+107458,913418
733784-874788,-141004
61492-670022,-608530
161215+259729,420944
312683+995469,1308152
91110-335077,-243967
739221-274683,464538
970643-10192,960451
490010+284268,774278
421595-268106,153489
716627+163435,880062
886124-899691,-13567
75448+44475,119923
311365+415914,727279
469684-86302,383382
162131+405412,567543
935270+941151,1876421
902902-32078,870824
943411+337908,1281319
291946-215760,76186
917071+662510,1579581
702555-580087,122468
223206+876682,1099888
620267-347371,272896
164298-622088,-457790
764393-636697,127696
660528+505250,1165778
27499+685103,712602
833253+539043,1372296
279327-853163,-573836
185082+195782,380864
316107+15517,331624
646410-183048,463362
799406+348468,1147874
967200+200914,1168114
934960-896935,38025
6180+233982,240162
314140+562756,876896
838591-967646,-129055
593145+182031,775176
955063+570905,1525968
832473-679080,153393
205626-852805,-647179
816046+418431,1234477
183105+544792,727897
843828-361226,482602
319767+66775,386542
304909-911115,-606206
530574-478519,52055
476476-231083,245393
28524-71585,-43061
668380+184323,852703
213954-25512,188442
966628+118853,1085481
861518+101832,963350
282794-474530,-191736
856231-655281,200950
333181-31795,301386
114438-87237,27201
1928+882271,884199
485245+227879,713124
6357-316907,-310550
792591+690147,1482738
252198-969105,-716907
661703+402879,1064582
276749-880969,-604220
849718+501957,1351675
863549-78942,784607
177606-340118,-162512
248467+750221,998688
736312-507358,228954
225710-669795,-444085
965330+981346,1946676
280013+105607,385620
277969+942367,1220336
513388+656907,1170295
535335+105419,640754
409314-836926,-427612
455397-354739,100658
680423+628278,1308701
745465-964380,-218915
228763+610073,838836
594737-957620,-362883
66850+156929,223779
208930-271311,-62381
184757+509723,694480
66927-571658,-504731
538966+710237,1249203
272892-676070,-403178
919892+62635,982527
367529-824121,-456592
86305-660634,-574329
247411-688085,-440674
471930-146156,325774
260741-424705,-163964
21289+436942,458231
322347-896477,-574130
146377+78640,225017
646691+945433,1592124
669378+647303,1316681
304529+709504,1014033
23289-575172,-551883
444853+939756,1384609
278731-492782,-214051
462072-767556,-305484
189075+612710,801785
702829+881176,1584005
308436+624037,932473
254517-56201,198316
502259-134642,367617
981541-939011,42530
831560+971113,1802673
742679-857331,-114652
348596-116000,232596
212807-202593,10214
894449+762724,1657173
906181+573762,1479943
251944-281079,-29135
992794+480829,1473623
881683-187921,693762
695793-968849,-273056
162717+886595,1049312
402968-472875,-69907
790217-26357,763860
217628-189959,27669
443983-704215,-260232
200300-406799,-206499
378106+953773,1331879
949584-794051,155533
904326-210497,693829
964249+583923,1548172
602320-16480,585840
44516+802264,846780
942382+865053,1807435
119749+827049,946798
833840-143317,690523
516103-162705,353398
840663+95593,936256
416915-819064,-402149
492276+257889,750165
861044-530403,330641
148105-162020,-13915
889953-771833,118120
906968-2246,904722
953805+143311,1097116
326134+861957,1188091
687023-320314,366709
600092-414345,185747
350596-623718,-273122
18000+261583,279583
650140-938192,-288052
121856-464868,-343012
127164-607346,-480182
127617+252254,379871
846453-690203,156250
990642-829589,161053
992221+873300,1865521
916322-840606,75716
669536-210855,458681
955536-606538,348998
400088-909168,-509080
871149-324847,546302
910279+861695,1771974
671303+914568,1585871
860890-863466,-2576
786061+443829,1229890
477143+284530,761673
930264-632690,297574
136624+888017,1024641
587770+126807,714577
579062+913134,1492196
454914+375734,830648
969764+633465,1603229
51157-667340,-616183
53501+432608,486109
733993+24840,758833
985605-544345,441260
129009+463576,592585
679116-564887,114229
362734+97562,460296
158589-394929,-236340
572858-832472,-259614
265704+275926,541630
803288+935226,1738514
860465-525351,335114
872816-916062,-43246
352798-177022,175776
84176+163324,247500
9520+659268,668788
349618+477838,827456
937385+233868,1171253
687343+765143,1452486
903181+146800,1049981
118579-569768,-451189
164163-616750,-452587
240728-779047,-538319
910896-411558,499338
436899-216005,220894
50939+106012,156951
356242-840863,-484621
749466+162928,912394
94978+768430,863408
966459+490728,1457187
775151-887735,-112584
252877-458804,-205927
249570-896391,-646821
686956+533025,1219981
680980+489374,1170354
476010-412700,63310
32272+567984,600256
925360-345925,579435
258583+289976,548559
376082+731166,1107248
573717+77789,651506
845746+813960,1659706
930908-455096,475812
395527+313661,709188
885117-186026,699091
140055-467272,-327217
707559-993587,-286028
422827-118133,304694
809353+573515,1382868
925560-76251,849309
62723-573593,-510870
2770+509078,511848
388718+195818,584536
454675-478061,-23386
44593+672463,717056
946698+530296,1476994
521764-915456,-393692
615586+849038,1464624
728093+937248,1665341
227848-495398,-267550
462524+420982,883506
185602+926287,1111889
842620-711916,130704
374375+646155,1020530
613389+400112,1013501
277049-147319,129730
707708-661649,46059
791859+228452,1020311
962865-219752,743113
795036+259668,1054704
921128+357267,1278395
152337-525579,-373242
216531-377248,-160717
740343+701484,1441827
844-341391,-340547
538402-320883,217519
847479+213592,1061071
318997-56322,262675
154902+276800,431702
788880-582647,206233
71494+555466,626960
141920-539076,-397156
307126-606671,-299545
546958+21761,568719
79191+921871,1001062
857224+787036,1644260
159375-710412,-551037
749864-688941,60923
170345-326006,-155661
923181+440233,1363414
7560-74365,-66805
153308+21539,174847
679081-150786,528295
16460-562709,-546249
140071-368367,-228296
771978+646874,1418852
201964+153476,355440
935409+276291,1211700
870796-800409,70387
264493-462400,-197907
763923-369335,394588
569493+986590,1556083
253636-646263,-392627
922525-888120,34405
398948+381212,780160
535650-543999,-8349
10129+658474,668603
869057-28014,841043
176245+53506,229751
658572+735468,1394040
721429+47876,769305
508183-578353,-70170
791032+792214,1583246
2129-786938,-784809
308201-679800,-371599
902902-166872,736030
683687+145039,828726
408758+507038,915796
3362-922822,-919460
340450+123528,463978
636611-635314,1297
988042-924385,63657
220056-752815,-532759
830746+399458,1230204
772079-716164,55915
533568+660692,1194260
789603+698437,1488040
436761-141359,295402
17470-999454,-981984
250489+367808,618297
292686+996183,1288869
428626-848295,-419669
184560+589328,773888
216707+506414,723121
315251+56421,371672
116431-165653,-49222
275505-393883,-118378
637318-469745,167573
938023+649270,1587293
114911-949482,-834571
448899-381649,67250
726973-192315,534658
716591+656616,1373207
995671-766204,229467
322244-639014,-316770
354206+874543,1228749
214811-702959,-488148
520129-829426,-309297
340883-714936,-374053
725683-268831,456852
251963-466192,-214229
594273+699662,1293935
503707-663614,-159907
864870-1239,863631
310451+674289,984740
950885-723066,227819
459988+771766,1231754
245955+948544,1194499
390654-489657,-99003
532428+104262,636690
252593-262774,-10181
726342-681495,44847
246622-280452,-33830
864902-506754,358148
489020-130301,358719
760058+941764,1701822
912031-477613,434418
595816+472389,1068205
114861-503617,-388756
198060+624078,822138
376651+417507,794158
643448-207839,435609
525770-192549,333221
720820+75072,795892
679865-558536,121329
171191-738639,-567448
641380+682587,1323967
419009-754600,-335591
903912+819499,1723411
369423-875196,-505773
692250+12830,705080
525007-436001,89006
872233-404883,467350
717842-639228,78614
430545-965177,-534632
569850+394772,964622
240012+298918,538930
773522+607955,1381477
361821-395513,-33692
276744+525459,802203
546409-50354,496055
755934+999940,1755874
611296+654583,1265879
479563-133166,346397
570126-3862,566264
395610+939072,1334682
439958-43697,396261
799877-638554,161323
565852-816765,-250913
42562-866257,-823695
719693+654701,1374394
85008-734410,-649402
592014+616222,1208236
338073-611881,-273808
600307-892457,-292150
325906+836081,1161987
604945+313590,918535
174035+710003,884038
760217-606379,153838
475869+818146,1294015
85839-630430,-544591
430034-637934,-207900
851674-80888,770786
760093+977437,1737530
633766+538851,1172617
659002-466059,192943
921718+35394,957112
243408-686351,-442943
246283+158524,404807
301421+298051,599472
771691-541191,230500
83216-932027,-848811
815464+96534,911998
828382+115367,943749
493293-675401,-182108
251534-172845,78689
786115-260709,525406
893023+592664,1485687
466552-697500,-230948
690568+519301,1209869
59404+278275,337679
898826-813427,85399
705540-655728,49812
437601-328682,108919
759422-184453,574969
331497-189019,142478
619996+673758,1293754
777259+228753,1006012
895681+152917,1048598
999834-386472,613362
222078-613416,-391338
200713-525641,-324928
301330-717437,-416107
303962-604827,-300865
891883+695967,1587850
176+260783,260959
629827-595460,34367
921710-487383,434327
393029+507090,900119
89802-9622,80180
292454-105380,187074
934249-688275,245974
593677-865915,-272238
615414+21604,637018
196262+791343,987605
352239-402930,-50691
607973-141872,466101
960221-519008,441213
818408-167897,650511
146649-945226,-798577
964581+238844,1203425
115692-799313,-683621
355198-2993,352205
539951+270938,810889
814536-670871,143665
227218-159441,67777
816536-142213,674323
2038+97893,99931
867418-898151,-30733
87779-633261,-545482
231241+822620,1053861
834779-700699,134080
909677-673354,236323
906879-931507,-24628
643283-933115,-289832
199038+176513,375551
690736-859561,-168825
931865-612452,319413
861064+498895,1359959
36249-606924,-570675
795628-596788,198840
264831+96758,361589
142414-859971,-717557
45622-951114,-905492
47595-343168,-295573
484890+777740,1262630
816071-5115,810956
199301+347924,547225
692103-891112,-199009
670526+756398,1426924
176739+794945,971684
633453+684018,1317471
317691-898975,-581284
308192-512485,-204293
767116+935167,1702283
352000+389023,741023
535752+884086,1419838
622935-969749,-346814
622296-14264,608032
261789-258814,2975
605788+645520,1251308
534175-513257,20918
144755+797347,942102
938623-606114,332509
986609-957433,29176
501602+666465,1168067
697427-447976,249451
576844+407432,984276
238254+710839,949093
51477+398590,450067
444787+94567,539354
867230+142777,1010007
920404-68989,851415
750078+136259,886337
352352+172494,524846
944635+150547,1095182
87693+664901,752594
723807+883391,1607198
351083+384214,735297
498371-193055,305316
468468-214334,254134
580478+778216,1358694
944355-256564,687791
835734+173138,1008872
332117-553069,-220952
568905+357462,926367
703881-262578,441303
122056-848872,-726816
641405+871849,1513254
475813-252007,223806
56508-370287,-313779
39424+75819,115243
64121-92923,-28802
50111-652576,-602465
795132-968439,-173307
444958-245566,199392
905948-330108,575840
302592-759667,-457075
808219+889332,1697551
362170-756519,-394349
662706-748510,-85804
633386+183715,817101
682635-357218,325417
256377+752464,1008841
445637+794270,1239907
457413-650725,-193312
582915+451161,1034076
662875+378936,1041811
824939-664789,160150
670696-259443,411253
648592+519407,1167999
434982-522465,-87483
619333+536093,1155426
952734+264391,1217125
9927+321265,331192
783739+898712,1682451
272191+283778,555969
311575-933849,-622274
179185-95768,83417
161223+83814,245037
568539+102251,670790
405805-442642,-36837
280540+830768,1111308
339698+56381,396079
681166+255222,936388
684324-333242,351082
964626-565978,398648
729772-401368,328404
355658+723187,1078845
291069-166673,124396
485029-640627,-155598
769169-211484,557685
602409+195598,798007
443012-475933,-32921
532265+795171,1327436
372528+395692,768220
799878-45338,754540
195762+710963,906725
39668+804507,844175
636299+416508,1052807
247261+959529,1206790
716196-30838,685358
933285-956870,-23585
303467-929380,-625913
88293-31843,56450
46552+788079,834631
623344+728603,1351947
398778+718314,1117092
350671+587087,937758
782893+909227,1692120
455348+381104,836452
320295-510179,-189884
576313+186835,763148
828809+863134,1691943
390052-782786,-392734
341968+329537,671505
710001+725566,1435567
805817-765024,40793
858381-188298,670083
260741-29483,231258
772789-278851,493938
639439+19135,658574
905409-122498,782911
14889-795299,-780410
426625+304853,731478
426150+2269,428419
538128-966440,-428312
552094+774687,1326781
641491+712506,1353997
768988+487384,1256372
311919-198655,113264
334382-889810,-555428
115429+522807,638236
961855-934274,27581
115801-814735,-698934
281621+401375,682996
351408+942866,1294274
319014+438714,757728
407246+17527,424773
941473-157968,783505
91687+599133,690820
742737+286706,1029443
425021-66786,358235
415957-189835,226122
809266-796203,13063
190629-653066,-462437
307972+451504,759476
914973+938851,1853824
82550-352612,-270062
570394+751395,1321789
705653+404720,1110373
76870-767651,-690781
700957+569765,1270722
2198-847539,-845341
721003+794298,1515301
116914+982167,1099081
595496+587665,1183161
865694+244735,1110429
476119-882304,-406185
423960+896452,1320412
329745+648498,978243
595786+390096,985882
938984+89204,1028188
608471+771721,1380192
758147+326831,1084978
519929+211518,731447
392456-856532,-464076
439802-316543,123259
267592-667318,-399726
257407-703101,-445694
652-331080,-330428
703192-207175,496017
357513-723552,-366039
401200-752459,-351259
486289+304242,790531
673099+790604,1463703
636277+166588,802865
78715+894586,973301
924643+438504,1363147
983091+929448,1912539
340312+801089,1141401
840386+763935,1604321
906063-208602,697461
432140+51204,483344
864762+913416,1778178
221426+676983,898409
670098+471567,1141665
696084-279034,417050
78932-7191,71741
897692-402695,494997
528020-56049,471971
69842-430733,-360891
193715+598122,791837
50716+548240,598956
79903-989737,-909834
16069-797139,-781070
271976-127552,144424
5332+55058,60390
578582-808997,-230415
223449+238639,462088
696208-911840,-215632
486749+327989,814738
755151+299574,1054725
587311-415203,172108
648072+649534,1297606
531869-269241,262628
447803+809714,1257517
759052-218400,540652
345844+587466,933310
795336+430165,1225501
987494+526537,1514031
889682+323292,1212974
124433+414812,539245
581489-235910,345579
800780-103703,697077
558974+100358,659332
717153-425544,291609
264399-312697,-48298
384476+223153,607629
894713+442633,1337346
301691-274785,26906
832818+383794,1216612
538215-257356,280859
781344+768819,1550163
953444-308801,644643
372272+918139,1290411
817387+579894,1397281
303035-623864,-320829
599301+846798,1446099
322826+307081,629907
142404+779835,922239
4689-412490,-407801
243668-737347,-493679
712211+385070,1097281
731808-982453,-250645
693458+7863,701321
230692+392295,622987
527733-364722,163011
368453+876802,1245255
282537+20103,302640
168400+363238,531638
70346+649685,720031
267376+575817,843193
755989-683704,72285
235494-544417,-308923
410055+570068,980123
376021-615842,-239821
509519+695782,1205301
224436-866525,-642089
266526-702452,-435926
185238-727503,-542265
465469-912068,-446599
827860+507357,1335217
519497+791192,1310689
828053-684536,143517
170536+987841,1158377
975978-762190,213788
356637-197595,159042
398016+442983,840999
490643-82955,407688
997344+604991,1602335
527860+783171,1311031
49236+760664,809900
668224-110771,557453
778961+569211,1348172
396955-331141,65814
123792+914212,1038004
465258-661423,-196165
223450+103682,327132
644983-163801,481182
495251-209855,285396
478104+152258,630362
555703+107615,663318
73518-11206,62312
584832+558789,1143621
334052-344255,-10203
153424-255149,-101725
751452+598413,1349865
259886+539839,799725
486046+198504,684550
286866-719151,-432285
996216+313856,1310072
984606+579603,1564209
438868-297831,141037
855950+128229,984179
254249+747306,1001555
21277+76374,97651
589661+831054,1420715
688653-617051,71602
366625-200004,166621
780006+816977,1596983
48115+113232,161347
821800+474804,1296604
582066-571095,10971
788581-507310,281271
114687+890631,1005318
78029+931497,1009526
611156-371496,239660
905116+744959,1650075
293619+398141,691760
325673+369340,695013
849+98605,99454
247281-580210,-332929
716451-448025,268426
572200+500857,1073057
710456-18876,691580
79275-12008,67267
399372+537927,937299
110273-80187,30086
3910+290958,294868
331996+522203,854199
3255+129145,132400
588828+137392,726220
399999-729823,-329824
928101-485763,442338
115164+973340,1088504
666269+687594,1353863
40869-142186,-101317
745083-28590,716493
827744+7526,835270
398674+697761,1096435
432946-590583,-157637
844797-125921,718876
453918+663023,1116941
936266-60395,875871
224111+779598,1003709
746207+554215,1300422
166329+135479,301808
861104+532558,1393662
662246+628605,1290851
221785-814347,-592562
519642-490972,28670
209542+903371,1112913
764721-926663,-161942
710412+107930,818342
571448+106581,678029
539743+960506,1500249
562337-603382,-41045
381563+179134,560697
304518-965129,-660611
732481-708443,24038
49544-278273,-228729
645583-445778,199805
757324+371491,1128815
347763-890677,-542914
626031-838159,-212128
309965-21826,288139
750439+151896,902335
115592-701718,-586126
130412-569033,-438621
370882-101880,269002
348628+644042,992670
904817-213638,691179
973091-81085,892006
924584-525477,399107
327876+268805,596681
977303+505984,1483287
889903-828668,61235
965199-128345,836854
348659+259487,608146
568505+885475,1453980
195959-445349,-249390
43119+177448,220567
649647-377678,271969
833028-352242,480786
512870+184476,697346
554279+756475,1310754
206786+9280,216066
522670-754355,-231685
888132-752288,135844
225858+875455,1101313
816859+972622,1789481
588070+390721,978791
470744-613314,-142570
970718+835898,1806616
240698-808350,-567652
483499-772037,-288538
792565+235805,1028370
290922+230357,521279
847584-485498,362086
759952-801268,-41316
569058+521316,1090374
785830-523625,262205
237352+693132,930484
390271-48422,341849
745083-143266,601817
663964+787281,1451245
810207+337494,1147701
601242-456712,144530
615492-492306,123186
664982+265072,930054
438142+805742,1243884
804113-736266,67847
601632+257307,858939
541282-435175,106107
458479+820887,1279366
541739-727886,-186147
34221+465255,499476
76640-672931,-596291
466771+826276,1293047
927858-687151,240707
37964+642311,680275
876392+183744,1060136
124721-377309,-252588
544804+8095,552899
898097-831334,66763
102598-926604,-824006
717126+606387,1323513
370856+321943,692799
719967-223364,496603
579126+101478,680604
278811-995684,-716873
694397-176299,518098
96735-952998,-856263
262832-66449,196383
506480-422227,84253
497013+958611,1455624
644811-920833,-276022
325927+499957,825884
273368-985687,-712319
451671-546468,-94797
297361+482590,779951
78846+188529,267375
468139-434345,33794
102553+60662,163215
72138-363838,-291700
10638+299700,310338
297619-855070,-557451
404407+601500,1005907
985676+636654,1622330
722571+547562,1270133
251274+743709,994983
886621-917440,-30819
188387-870285,-681898
663434+623048,1286482
616553-280402,336151
894288-378077,516211
647702+963957,1611659
92278-649093,-556815
209191+549858,759049
797974-531897,266077
258889-388249,-129360
525390-178747,346643
618367+949154,1567521
47514-992410,-944896
729253-364967,364286
917273+4044,921317
781669-737126,44543
988496-799812,188684
112717+483723,596440
484653+290972,775625
875017-913504,-38487
426654-881952,-455298
716272+21383,737655
328974-389471,-60497
110047-499618,-389571
407118-863799,-456681
284410+533550,817960
275967+854062,1130029
825298+450069,1275367
67974+507701,575675
677056-154033,523023
773023-877373,-104350
682653+808996,1491649
379237+905783,1285020
142981-972212,-829231
898182+764693,1662875
244079+685182,929261
637781-336236,301545
657639+563237,1220876
649355-445236,204119
142393-929379,-786986
828913+99728,928641
484611-751300,-266689
696891-612451,84440
887616-148573,739043
222380+630134,852514
600030+285700,885730
47611+875953,923564
788796-971831,-183035
163583+22939,186522
339311-203352,135959
183050-712134,-529084
128112-930512,-802400
476336+247345,723681
49940-870187,-820247
330004-741265,-411261
96456+637913,734369
600326-702453,-102127
84458+863795,948253
52779-416809,-364030
737461+14665,752126
901910-809964,91946
781994-868441,-86447
724252-861844,-137592
405612-588770,-183158
304025-471718,-167693
152540-520897,-368357
337114-21363,315751
874791+231155,1105946
545937-925683,-379746
357759+62233,419992
281691-364394,-82703
928711+843079,1771790
454109-18415,435694
82146+31358,113504
635885-806107,-170222
329056+47216,376272
748476-108753,639723
820308+582827,1403135
780809-796637,-15828
736981-566997,169984
560311+654444,1214755
909447-27241,882206
164774+208322,373096
770198+473504,1243702
869045+530822,1399867
114836+324813,439649
740718-151344,589374
323173-387997,-64824
971027-556858,414169
277013+294522,571535
374116-493243,-119127
154676-373442,-218766
76685+578883,655568
185329+836265,1021594
959799+7661,967460
488643-254890,233753
424072+905325,1329397
479944+191596,671540
92691-62025,30666
340148+604172,944320
771876+266223,1038099
488547+767242,1255789
107014-100188,6826
48466-569658,-521192
153190-685117,-531927
350454+474999,825453
671092+276608,947700
646294-772671,-126377
506461+466780,973241
68132+981771,1049903
662253-553601,108652
202258-178676,23582
804180-796756,7424
323859+242595,566454
74864-208304,-133440
22580-546228,-523648
200553+82944,283497
365169+784427,1149596
159834-728559,-568725
819112-5035,814077
960161+495055,1455216
632200-895800,-263600
85087-244684,-159597
518460-292541,225919
794080-31625,762455
144359+617484,761843
934821-910673,24148
212437-431117,-218680
436897-173292,263605
995873-157611,838262
86324+380005,466329
560902-796520,-235618
769916-441100,328816
557351+577232,1134583
813646-382178,431468
995458-757726,237732
101573+125333,226906
490721+502797,993518
428263-410961,17302
791286-883716,-92430
983889-761689,222200
813066-769169,43897
376112-617881,-241769
510398+262572,772970
915762+787982,1703744
561624-207946,353678
499741-397209,102532
272906-73994,198912
727678+293619,1021297
813213+992929,1806142
549352+58888,608240
54349-111037,-56688
760091-504399,255692
988782+461853,1450635
225857+154186,380043
61803-475929,-414126
527753-543582,-15829
761788-854653,-92865
817035-407948,409087
333591-460357,-126766
976448+585819,1562267
84808-79863,4945
670480+368524,1039004
64473+932876,997349
532697+327488,860185
942158+808500,1750658
102842+818931,921773
238387+131619,370006
613853-970989,-357136
328876-290511,38365
884622-418185,466437
587838+129747,717585
230942+318077,549019
471890-315119,156771
761887+39470,801357
924403+664569,1588972
609972+240298,850270
921658+738280,1659938
472444+37341,509785
601302+618786,1220088
913132+622903,1536035
280424-931144,-650720
929150-254273,674877
220670-647268,-426598
848137-516271,331866
998188-436594,561594
785956+623877,1409833
534558-631281,-96723
925321+870664,1795985
846282-831282,15000
111631-480879,-369248
79419+322077,401496
836516+176922,1013438
617435-575129,42306
787353-940774,-153421
195181+405548,600729
370770-917994,-547224
762164+676641,1438805
245135+35570,280705
185011-169878,15133
774053+72641,846694
635789+689729,1325518
307462+948201,1255663
806451+840197,1646648
513589+669458,1183047
384249-985670,-601421
399923-193127,206796
930411-903388,27023
16186-68246,-52060
53139-663391,-610252
371331-107817,263514
587384+962939,1550323
913986+387133,1301119
280906-528158,-247252
621232+464831,1086063
248863-84794,164069
641908+31844,673752
122283+499152,621435
231188+996729,1227917
621010-605381,15629
482131+685899,1168030
527740+970098,1497838
880350+617814,1498164
601887-938278,-336391
726108+54995,781103
557316+387632,944948
337632-220732,116900
662584+179976,842560
826878-428779,398099
681198+323054,1004252
769998+866783,1636781
437186+255386,692572
376832+156297,533129
204853-705759,-500906
54716-343467,-288751
263900+287194,551094
622754+452345,1075099
851795-457697,394098
280275-332231,-51956
169262-438850,-269588
55070+266397,321467
136927-666544,-529617
59869-737817,-677948
175150+986409,1161559
460929-880057,-419128
734059-107749,626310
463226+19412,482638
496544-34948,461596
335929-438456,-102527
570133+850105,1420238
75634+599030,674664
999445+594314,1593759
179440+305544,484984
191609-23357,168252
229296-411387,-182091
585204-597551,-12347
172443+529007,701450
995750+117768,1113518
454740-606743,-152003
87357+819546,906903
525945+130879,656824
340129-185770,154359
575578+309950,885528
526762-761038,-234276
823752-695899,127853
546599-952138,-405539
174281+375652,549933
757063-584203,172860
105003+57489,162492
993199-331606,661593
743038-675170,67868
250385-616868,-366483
